,Date,PM10,PM2.5,WeekDay,Month_Year
58,1/2/2024,2,43,3,01-24
59,1/1/2024,10,88,2,01-24
60,12/31/2023,5,76,1,12-23
61,12/30/2023,7,47,7,12-23
62,12/29/2023,3,11,6,12-23
63,12/28/2023,5,53,5,12-23
64,12/27/2023,8,88,4,12-23
65,12/26/2023,2,84,3,12-23
66,12/25/2023,1,0,2,12-23
67,12/24/2023,1,0,1,12-23
68,12/23/2023,1,0,7,12-23
69,12/22/2023,4,41,6,12-23
70,12/21/2023,1,0,5,12-23
71,12/20/2023,2,82,4,12-23
72,12/19/2023,10,5,3,12-23
73,12/18/2023,12,83,2,12-23
74,12/17/2023,12,12,1,12-23
75,12/16/2023,13,60,7,12-23
76,12/15/2023,8,65,6,12-23
77,12/14/2023,6,51,5,12-23
78,12/13/2023,8,20,4,12-23
79,12/12/2023,10,93,3,12-23
80,12/11/2023,5,17,2,12-23
81,12/10/2023,7,65,1,12-23
82,12/9/2023,9,88,7,12-23
83,12/8/2023,11,43,6,12-23
84,12/7/2023,14,85,5,12-23
85,12/6/2023,11,17,4,12-23
86,12/5/2023,19,28,3,12-23
87,12/4/2023,9,94,2,12-23
88,12/3/2023,13,1,1,12-23
89,12/2/2023,15,23,7,12-23
90,12/1/2023,23,51,6,12-23
91,11/30/2023,17,24,5,11-23
92,11/29/2023,7,44,4,11-23
93,11/28/2023,7,47,3,11-23
94,11/27/2023,4,39,2,11-23
95,11/26/2023,4,0,1,11-23
96,11/25/2023,4,82,7,11-23
97,11/24/2023,3,94,6,11-23
98,11/23/2023,10,9,5,11-23
99,11/22/2023,11,63,4,11-23
100,11/21/2023,6,69,3,11-23
101,11/20/2023,5,53,2,11-23
102,11/19/2023,4,78,1,11-23
103,11/18/2023,7,63,7,11-23
104,11/17/2023,8,7,6,11-23
105,11/16/2023,9,66,5,11-23
106,11/15/2023,5,55,4,11-23
107,11/14/2023,8,31,3,11-23
108,11/13/2023,5,51,2,11-23
109,11/12/2023,6,8,1,11-23
110,11/11/2023,5,59,7,11-23
111,11/10/2023,3,87,6,11-23
112,11/9/2023,5,79,5,11-23
113,11/8/2023,6,6,4,11-23
114,11/7/2023,5,9,3,11-23
115,11/6/2023,4,79,2,11-23
116,11/5/2023,1,0,1,11-23
117,11/4/2023,4,54,7,11-23
118,11/3/2023,8,38,6,11-23
119,11/2/2023,6,26,5,11-23
120,11/1/2023,6,51,4,11-23
121,10/31/2023,4,71,3,10-23
122,10/30/2023,6,40,2,10-23
123,10/29/2023,4,52,1,10-23
124,10/28/2023,4,96,7,10-23
125,10/27/2023,7,19,6,10-23
126,10/26/2023,6,86,5,10-23
127,10/25/2023,8,32,4,10-23
128,10/24/2023,13,52,3,10-23
129,10/23/2023,12,97,2,10-23
130,10/22/2023,6,82,1,10-23
131,10/21/2023,5,48,7,10-23
132,10/20/2023,17,44,6,10-23
133,10/19/2023,19,71,5,10-23
134,10/18/2023,18,64,4,10-23
135,10/17/2023,10,82,3,10-23
136,10/16/2023,9,8,2,10-23
137,10/15/2023,5,38,1,10-23
138,10/14/2023,10,69,7,10-23
139,10/13/2023,19,86,6,10-23
140,10/12/2023,19,63,5,10-23
141,10/11/2023,22,37,4,10-23
142,10/10/2023,19,49,3,10-23
143,10/9/2023,11,85,2,10-23
144,10/8/2023,5,80,1,10-23
145,10/7/2023,11,50,7,10-23
146,10/6/2023,9,8,6,10-23
147,10/5/2023,11,3,5,10-23
148,10/4/2023,9,14,4,10-23
149,10/3/2023,14,20,3,10-23
150,10/2/2023,17,42,2,10-23
151,10/1/2023,10,38,1,10-23
152,9/30/2023,10,3,7,09-23
153,9/29/2023,17,58,6,09-23
154,9/28/2023,17,88,5,09-23
155,9/27/2023,20,29,4,09-23
156,9/26/2023,14,72,3,09-23
157,9/25/2023,11,84,2,09-23
158,9/24/2023,7,21,1,09-23
159,9/23/2023,6,53,7,09-23
160,9/22/2023,5,65,6,09-23
161,9/21/2023,13,94,5,09-23
162,9/20/2023,8,77,4,09-23
163,9/19/2023,7,35,3,09-23
164,9/18/2023,10,59,2,09-23
165,9/17/2023,10,70,1,09-23
166,9/16/2023,11,98,7,09-23
167,9/15/2023,10,94,6,09-23
168,9/14/2023,9,73,5,09-23
169,9/13/2023,13,78,4,09-23
170,9/12/2023,21,71,3,09-23
171,9/11/2023,20,6,2,09-23
172,9/10/2023,15,93,1,09-23
173,9/9/2023,17,8,7,09-23
174,9/8/2023,16,57,6,09-23
175,9/7/2023,15,6,5,09-23
176,9/6/2023,13,26,4,09-23
177,9/5/2023,10,64,3,09-23
178,9/4/2023,10,88,2,09-23
179,9/3/2023,9,50,1,09-23
180,9/2/2023,7,35,7,09-23
181,9/1/2023,7,85,6,09-23
182,8/31/2023,7,53,5,08-23
183,8/30/2023,9,17,4,08-23
184,8/29/2023,8,95,3,08-23
185,8/28/2023,11,81,2,08-23
186,8/27/2023,8,89,1,08-23
187,8/26/2023,12,7,7,08-23
188,8/25/2023,12,34,6,08-23
189,8/24/2023,17,73,5,08-23
190,8/23/2023,17,58,4,08-23
191,8/22/2023,17,49,3,08-23
192,8/21/2023,19,73,2,08-23
193,8/20/2023,20,8,1,08-23
194,8/19/2023,17,0,7,08-23
195,8/18/2023,15,61,6,08-23
196,8/17/2023,13,55,5,08-23
197,8/16/2023,18,20,4,08-23
198,8/15/2023,17,7,3,08-23
199,8/14/2023,13,95,2,08-23
200,8/13/2023,9,56,1,08-23
201,8/12/2023,9,78,7,08-23
202,8/11/2023,13,63,6,08-23
203,8/10/2023,11,15,5,08-23
204,8/9/2023,6,40,4,08-23
205,8/8/2023,8,47,3,08-23
206,8/7/2023,4,21,2,08-23
207,8/6/2023,4,67,1,08-23
208,8/5/2023,10,97,7,08-23
209,8/4/2023,7,46,6,08-23
210,8/3/2023,6,9,5,08-23
211,8/2/2023,6,20,4,08-23
212,8/1/2023,4,72,3,08-23
213,7/31/2023,9,49,2,07-23
214,7/30/2023,7,65,1,07-23
215,7/29/2023,5,21,7,07-23
216,7/28/2023,5,47,6,07-23
217,7/27/2023,5,89,5,07-23
218,7/26/2023,6,45,4,07-23
219,7/25/2023,9,33,3,07-23
220,7/24/2023,10,9,2,07-23
221,7/23/2023,8,54,1,07-23
222,7/22/2023,10,67,7,07-23
223,7/21/2023,7,84,6,07-23
224,7/20/2023,9,35,5,07-23
225,7/19/2023,12,75,4,07-23
226,7/18/2023,9,69,3,07-23
227,7/17/2023,12,9,2,07-23
228,7/16/2023,8,98,1,07-23
229,7/15/2023,11,32,7,07-23
230,7/14/2023,12,1,6,07-23
231,7/13/2023,10,89,5,07-23
232,7/12/2023,11,88,4,07-23
233,7/11/2023,17,7,3,07-23
234,7/10/2023,18,18,2,07-23
235,7/9/2023,16,27,1,07-23
236,7/8/2023,13,80,7,07-23
237,7/7/2023,12,34,6,07-23
238,7/6/2023,9,45,5,07-23
239,7/5/2023,10,43,4,07-23
240,7/4/2023,13,83,3,07-23
241,7/3/2023,17,52,2,07-23
242,7/2/2023,9,24,1,07-23
243,7/1/2023,10,28,7,07-23
244,6/30/2023,14,65,6,06-23
245,6/29/2023,12,47,5,06-23
246,6/28/2023,8,2,4,06-23
247,6/27/2023,7,79,3,06-23
248,6/26/2023,14,98,2,06-23
249,6/25/2023,10,56,1,06-23
250,6/24/2023,9,91,7,06-23
251,6/23/2023,7,8,6,06-23
252,6/22/2023,17,44,5,06-23
253,6/21/2023,11,49,4,06-23
254,6/20/2023,13,89,3,06-23
255,6/19/2023,15,34,2,06-23
256,6/18/2023,13,46,1,06-23
257,6/17/2023,12,50,7,06-23
258,6/16/2023,12,11,6,06-23
259,6/15/2023,14,65,5,06-23
260,6/14/2023,15,29,4,06-23
261,6/13/2023,17,49,3,06-23
262,6/12/2023,15,58,2,06-23
263,6/11/2023,13,77,1,06-23
264,6/10/2023,17,10,7,06-23
265,6/9/2023,20,52,6,06-23
266,6/8/2023,19,94,5,06-23
267,6/7/2023,20,49,4,06-23
268,6/6/2023,14,18,3,06-23
269,6/5/2023,17,83,2,06-23
270,6/4/2023,10,28,1,06-23
271,6/3/2023,11,96,7,06-23
272,6/2/2023,19,64,6,06-23
273,6/1/2023,17,19,5,06-23
274,5/31/2023,15,89,4,05-23
275,5/30/2023,14,1,3,05-23
276,5/29/2023,13,12,2,05-23
277,5/28/2023,12,65,1,05-23
278,5/27/2023,15,9,7,05-23
279,5/26/2023,17,54,6,05-23
280,5/25/2023,15,19,5,05-23
281,5/24/2023,16,57,4,05-23
282,5/23/2023,NA,NA,3,05-23
283,5/22/2023,21,62,2,05-23
284,5/21/2023,19,39,1,05-23
285,5/20/2023,15,93,7,05-23
286,5/19/2023,14,11,6,05-23
287,5/18/2023,12,74,5,05-23
288,5/17/2023,13,32,4,05-23
289,5/16/2023,15,20,3,05-23
290,5/15/2023,16,13,2,05-23
291,5/14/2023,8,83,1,05-23
292,5/13/2023,11,70,7,05-23
293,5/12/2023,15,98,6,05-23
294,5/11/2023,11,35,5,05-23
295,5/10/2023,9,47,4,05-23
296,5/9/2023,12,71,3,05-23
297,5/8/2023,11,44,2,05-23
298,5/7/2023,13,55,1,05-23
299,5/6/2023,10,57,7,05-23
300,5/5/2023,16,49,6,05-23
301,5/4/2023,17,6,5,05-23
302,5/3/2023,16,4,4,05-23
303,5/2/2023,17,65,3,05-23
304,5/1/2023,46,39,2,05-23
305,4/30/2023,23,63,1,04-23
306,4/29/2023,10,85,7,04-23
307,4/28/2023,16,98,6,04-23
308,4/27/2023,18,47,5,04-23
309,4/26/2023,12,63,4,04-23
310,4/25/2023,9,76,3,04-23
311,4/24/2023,8,49,2,04-23
312,4/23/2023,6,77,1,04-23
313,4/22/2023,15,88,7,04-23
314,4/21/2023,22,61,6,04-23
315,4/20/2023,23,11,5,04-23
316,4/19/2023,14,72,4,04-23
317,4/18/2023,21,52,3,04-23
318,4/17/2023,15,63,2,04-23
319,4/16/2023,7,75,1,04-23
320,4/15/2023,3,90,7,04-23
321,4/14/2023,9,40,6,04-23
322,4/13/2023,8,20,5,04-23
323,4/12/2023,6,60,4,04-23
324,4/11/2023,6,11,3,04-23
325,4/10/2023,12,58,2,04-23
326,4/9/2023,17,62,1,04-23
327,4/8/2023,11,82,7,04-23
328,4/7/2023,17,83,6,04-23
329,4/6/2023,18,48,5,04-23
330,4/5/2023,16,0,4,04-23
331,4/4/2023,13,5,3,04-23
332,4/3/2023,8,84,2,04-23
333,4/2/2023,5,2,1,04-23
334,4/1/2023,3,94,7,04-23
335,3/31/2023,4,89,6,03-23
336,3/30/2023,9,82,5,03-23
337,3/29/2023,11,70,4,03-23
338,3/28/2023,9,54,3,03-23
339,3/27/2023,5,31,2,03-23
340,3/26/2023,5,4,1,03-23
341,3/25/2023,4,29,7,03-23
342,3/24/2023,8,72,6,03-23
343,3/23/2023,9,40,5,03-23
344,3/22/2023,11,62,4,03-23
345,3/21/2023,13,94,3,03-23
346,3/20/2023,12,75,2,03-23
347,3/19/2023,17,31,1,03-23
348,3/18/2023,15,67,7,03-23
349,3/17/2023,12,20,6,03-23
350,3/16/2023,12,7,5,03-23
351,3/15/2023,7,9,4,03-23
352,3/14/2023,7,2,3,03-23
353,3/13/2023,7,22,2,03-23
354,3/12/2023,7,97,1,03-23
355,3/11/2023,5,19,7,03-23
356,3/10/2023,4,26,6,03-23
357,3/9/2023,3,0,5,03-23
358,3/8/2023,6,74,4,03-23
359,3/7/2023,11,75,3,03-23
360,3/6/2023,12,36,2,03-23
361,3/5/2023,4,82,1,03-23
362,3/4/2023,9,76,7,03-23
363,3/3/2023,25,67,6,03-23
364,3/2/2023,42,77,5,03-23
365,3/1/2023,43,62,4,03-23
366,2/28/2023,29,15,3,02-23
367,2/27/2023,19,43,2,02-23
368,2/26/2023,4,93,1,02-23
369,2/25/2023,3,5,7,02-23
370,2/24/2023,8,60,6,02-23
371,2/23/2023,20,84,5,02-23
372,2/22/2023,14,63,4,02-23
373,2/21/2023,14,6,3,02-23
374,2/20/2023,8,1,2,02-23
375,2/19/2023,3,67,1,02-23
376,2/18/2023,3,80,7,02-23
377,2/17/2023,7,71,6,02-23
378,2/16/2023,29,15,5,02-23
379,2/15/2023,13,49,4,02-23
380,2/14/2023,19,73,3,02-23
381,2/13/2023,9,86,2,02-23
382,2/12/2023,10,47,1,02-23
383,2/11/2023,29,86,7,02-23
384,2/10/2023,37,47,6,02-23
385,2/9/2023,26,23,5,02-23
386,2/8/2023,35,59,4,02-23
387,2/7/2023,26,16,3,02-23
388,2/6/2023,19,41,2,02-23
389,2/5/2023,12,80,1,02-23
390,2/4/2023,6,82,7,02-23
391,2/3/2023,4,90,6,02-23
392,2/2/2023,5,33,5,02-23
393,2/1/2023,6,2,4,02-23
394,1/31/2023,5,97,3,01-23
395,1/30/2023,6,99,2,01-23
396,1/29/2023,16,37,1,01-23
397,1/28/2023,13,15,7,01-23
398,1/27/2023,12,2,6,01-23
399,1/26/2023,16,90,5,01-23
400,1/25/2023,15,28,4,01-23
401,1/24/2023,14,78,3,01-23
402,1/23/2023,13,46,2,01-23
403,1/22/2023,6,67,1,01-23
404,1/21/2023,16,53,7,01-23
405,1/20/2023,22,0,6,01-23
406,1/19/2023,13,11,5,01-23
407,1/18/2023,15,50,4,01-23
408,1/17/2023,8,98,3,01-23
409,1/16/2023,4,69,2,01-23
410,1/15/2023,1,0,1,01-23
411,1/14/2023,6,13,7,01-23
412,1/13/2023,3,19,6,01-23
413,1/12/2023,5,8,5,01-23
414,1/11/2023,5,0,4,01-23
415,1/10/2023,8,85,3,01-23
416,1/9/2023,6,41,2,01-23
417,1/8/2023,9,19,1,01-23
418,1/7/2023,5,50,7,01-23
419,1/6/2023,4,63,6,01-23
420,1/5/2023,5,78,5,01-23
421,1/4/2023,4,2,4,01-23
422,1/3/2023,9,11,3,01-23
423,1/2/2023,14,82,2,01-23
424,1/1/2023,15,45,1,01-23
425,12/31/2022,3,50,7,12-22
426,12/30/2022,5,36,6,12-22
427,12/29/2022,4,58,5,12-22
428,12/28/2022,4,89,4,12-22
429,12/27/2022,5,97,3,12-22
430,12/26/2022,3,68,2,12-22
431,12/25/2022,6,37,1,12-22
432,12/24/2022,6,44,7,12-22
433,12/23/2022,4,36,6,12-22
434,12/22/2022,5,5,5,12-22
435,12/21/2022,15,28,4,12-22
436,12/20/2022,21,40,3,12-22
437,12/19/2022,22,24,2,12-22
438,12/18/2022,17,54,1,12-22
439,12/17/2022,30,59,7,12-22
440,12/16/2022,46,2,6,12-22
441,12/15/2022,32,59,5,12-22
442,12/14/2022,26,22,4,12-22
443,12/13/2022,21,21,3,12-22
444,12/12/2022,13,92,2,12-22
445,12/11/2022,17,47,1,12-22
446,12/10/2022,20,35,7,12-22
447,12/9/2022,18,96,6,12-22
448,12/8/2022,9,45,5,12-22
449,12/7/2022,5,66,4,12-22
450,12/6/2022,5,20,3,12-22
451,12/5/2022,17,56,2,12-22
452,12/4/2022,29,74,1,12-22
453,12/3/2022,29,87,7,12-22
454,12/2/2022,24,62,6,12-22
455,12/1/2022,28,26,5,12-22
456,11/30/2022,21,6,4,11-22
457,11/29/2022,12,18,3,11-22
458,11/28/2022,13,24,2,11-22
459,11/27/2022,9,19,1,11-22
460,11/26/2022,10,78,7,11-22
461,11/25/2022,8,72,6,11-22
462,11/24/2022,10,72,5,11-22
463,11/23/2022,14,26,4,11-22
464,11/22/2022,9,97,3,11-22
465,11/21/2022,7,26,2,11-22
466,11/20/2022,12,5,1,11-22
467,11/19/2022,19,79,7,11-22
468,11/18/2022,12,49,6,11-22
469,11/17/2022,6,81,5,11-22
470,11/16/2022,8,39,4,11-22
471,11/15/2022,16,80,3,11-22
472,11/14/2022,17,37,2,11-22
473,11/13/2022,13,54,1,11-22
474,11/12/2022,13,91,7,11-22
475,11/11/2022,14,29,6,11-22
476,11/10/2022,11,32,5,11-22
477,11/9/2022,9,19,4,11-22
478,11/8/2022,9,20,3,11-22
479,11/7/2022,8,17,2,11-22
480,11/6/2022,9,52,1,11-22
481,11/5/2022,10,99,7,11-22
482,11/4/2022,11,23,6,11-22
483,11/3/2022,11,24,5,11-22
484,11/2/2022,11,56,4,11-22
485,11/1/2022,15,72,3,11-22
486,10/31/2022,20,98,2,10-22
487,10/30/2022,24,46,1,10-22
488,10/29/2022,26,43,7,10-22
489,10/28/2022,16,87,6,10-22
490,10/27/2022,13,45,5,10-22
491,10/26/2022,12,87,4,10-22
492,10/25/2022,11,7,3,10-22
493,10/24/2022,9,71,2,10-22
494,10/23/2022,8,89,1,10-22
495,10/22/2022,11,18,7,10-22
496,10/21/2022,15,4,6,10-22
497,10/20/2022,9,83,5,10-22
498,10/19/2022,14,54,4,10-22
499,10/18/2022,14,5,3,10-22
500,10/17/2022,16,77,2,10-22
501,10/16/2022,7,60,1,10-22
502,10/15/2022,4,84,7,10-22
503,10/14/2022,15,71,6,10-22
504,10/13/2022,25,77,5,10-22
505,10/12/2022,18,36,4,10-22
506,10/11/2022,17,78,3,10-22
507,10/10/2022,13,97,2,10-22
508,10/9/2022,8,58,1,10-22
509,10/8/2022,14,59,7,10-22
510,10/7/2022,17,92,6,10-22
511,10/6/2022,13,27,5,10-22
512,10/5/2022,11,52,4,10-22
513,10/4/2022,11,25,3,10-22
514,10/3/2022,7,24,2,10-22
515,10/2/2022,6,58,1,10-22
516,10/1/2022,6,43,7,10-22
517,9/30/2022,14,23,6,09-22
518,9/29/2022,11,24,5,09-22
519,9/28/2022,4,10,4,09-22
520,9/27/2022,3,74,3,09-22
521,9/26/2022,7,50,2,09-22
522,9/25/2022,15,5,1,09-22
523,9/24/2022,14,23,7,09-22
524,9/23/2022,12,79,6,09-22
525,9/22/2022,12,63,5,09-22
526,9/21/2022,10,22,4,09-22
527,9/20/2022,5,71,3,09-22
528,9/19/2022,3,18,2,09-22
529,9/18/2022,3,84,1,09-22
530,9/17/2022,4,93,7,09-22
531,9/16/2022,8,26,6,09-22
532,9/15/2022,7,72,5,09-22
533,9/14/2022,9,7,4,09-22
534,9/13/2022,12,71,3,09-22
535,9/12/2022,10,0,2,09-22
536,9/11/2022,9,13,1,09-22
537,9/10/2022,6,1,7,09-22
538,9/9/2022,7,27,6,09-22
539,9/8/2022,9,31,5,09-22
540,9/7/2022,12,86,4,09-22
541,9/6/2022,14,26,3,09-22
542,9/5/2022,15,14,2,09-22
543,9/4/2022,10,69,1,09-22
544,9/3/2022,12,44,7,09-22
545,9/2/2022,11,70,6,09-22
546,9/1/2022,11,45,5,09-22
547,8/31/2022,13,53,4,08-22
548,8/30/2022,12,97,3,08-22
549,8/29/2022,12,87,2,08-22
550,8/28/2022,14,16,1,08-22
551,8/27/2022,10,87,7,08-22
552,8/26/2022,25,59,6,08-22
553,8/25/2022,24,5,5,08-22
554,8/24/2022,13,82,4,08-22
555,8/23/2022,12,10,3,08-22
556,8/22/2022,14,9,2,08-22
557,8/21/2022,13,38,1,08-22
558,8/20/2022,9,71,7,08-22
559,8/19/2022,14,59,6,08-22
560,8/18/2022,NA,NA,5,08-22
561,8/17/2022,17,17,4,08-22
562,8/16/2022,12,81,3,08-22
563,8/15/2022,16,58,2,08-22
564,8/14/2022,15,54,1,08-22
565,8/13/2022,15,88,7,08-22
566,8/12/2022,13,52,6,08-22
567,8/11/2022,17,61,5,08-22
568,8/10/2022,18,60,4,08-22
569,8/9/2022,15,57,3,08-22
570,8/8/2022,12,57,2,08-22
571,8/7/2022,7,56,1,08-22
572,8/6/2022,6,29,7,08-22
573,8/5/2022,14,4,6,08-22
574,8/4/2022,16,99,5,08-22
575,8/3/2022,13,85,4,08-22
576,8/2/2022,11,66,3,08-22
577,8/1/2022,9,79,2,08-22
578,7/31/2022,13,54,1,07-22
579,7/30/2022,10,93,7,07-22
580,7/29/2022,16,42,6,07-22
581,7/28/2022,15,9,5,07-22
582,7/27/2022,11,21,4,07-22
583,7/26/2022,13,2,3,07-22
584,7/25/2022,14,53,2,07-22
585,7/24/2022,13,17,1,07-22
586,7/23/2022,14,60,7,07-22
587,7/22/2022,14,55,6,07-22
588,7/21/2022,15,73,5,07-22
589,7/20/2022,16,25,4,07-22
590,7/19/2022,16,80,3,07-22
591,7/18/2022,15,89,2,07-22
592,7/17/2022,8,91,1,07-22
593,7/16/2022,8,33,7,07-22
594,7/15/2022,11,54,6,07-22
595,7/14/2022,NA,NA,5,07-22
596,7/13/2022,10,85,4,07-22
597,7/12/2022,8,7,3,07-22
598,7/11/2022,6,97,2,07-22
599,7/10/2022,5,97,1,07-22
600,7/9/2022,7,38,7,07-22
601,7/8/2022,10,38,6,07-22
602,7/7/2022,7,91,5,07-22
603,7/6/2022,10,91,4,07-22
604,7/5/2022,12,78,3,07-22
605,7/4/2022,12,83,2,07-22
606,7/3/2022,9,15,1,07-22
607,7/2/2022,8,26,7,07-22
608,7/1/2022,10,19,6,07-22
609,6/30/2022,16,8,5,06-22
610,6/29/2022,17,16,4,06-22
611,6/28/2022,10,67,3,06-22
612,6/27/2022,12,35,2,06-22
613,6/26/2022,9,18,1,06-22
614,6/25/2022,8,14,7,06-22
615,6/24/2022,14,78,6,06-22
616,6/23/2022,17,43,5,06-22
617,6/22/2022,14,4,4,06-22
618,6/21/2022,9,22,3,06-22
619,6/20/2022,14,98,2,06-22
620,6/19/2022,30,49,1,06-22
621,6/18/2022,21,18,7,06-22
622,6/17/2022,10,96,6,06-22
623,6/16/2022,18,7,5,06-22
624,6/15/2022,13,20,4,06-22
625,6/14/2022,10,67,3,06-22
626,6/13/2022,12,54,2,06-22
627,6/12/2022,11,27,1,06-22
628,6/11/2022,11,67,7,06-22
629,6/10/2022,10,55,6,06-22
630,6/9/2022,9,80,5,06-22
631,6/8/2022,9,56,4,06-22
632,6/7/2022,10,8,3,06-22
633,6/6/2022,7,22,2,06-22
634,6/5/2022,17,52,1,06-22
635,6/4/2022,18,93,7,06-22
636,6/3/2022,13,13,6,06-22
637,6/2/2022,8,76,5,06-22
638,6/1/2022,11,34,4,06-22
639,5/31/2022,10,40,3,05-22
640,5/30/2022,6,97,2,05-22
641,5/29/2022,5,87,1,05-22
642,5/28/2022,7,32,7,05-22
643,5/27/2022,8,70,6,05-22
644,5/26/2022,6,58,5,05-22
645,5/25/2022,11,78,4,05-22
646,5/24/2022,7,57,3,05-22
647,5/23/2022,13,33,2,05-22
648,5/22/2022,10,49,1,05-22
649,5/21/2022,7,46,7,05-22
650,5/20/2022,15,22,6,05-22
651,5/19/2022,16,77,5,05-22
652,5/18/2022,14,15,4,05-22
653,5/17/2022,13,75,3,05-22
654,5/16/2022,23,27,2,05-22
655,5/15/2022,17,42,1,05-22
656,5/14/2022,15,63,7,05-22
657,5/13/2022,18,76,6,05-22
658,5/12/2022,18,72,5,05-22
659,5/11/2022,24,32,4,05-22
660,5/10/2022,19,64,3,05-22
661,5/9/2022,16,85,2,05-22
662,5/8/2022,19,60,1,05-22
663,5/7/2022,12,15,7,05-22
664,5/6/2022,15,70,6,05-22
665,5/5/2022,22,58,5,05-22
666,5/4/2022,22,52,4,05-22
667,5/3/2022,23,74,3,05-22
668,5/2/2022,21,23,2,05-22
669,5/1/2022,24,5,1,05-22
670,4/30/2022,29,68,7,04-22
671,4/29/2022,22,72,6,04-22
672,4/28/2022,22,62,5,04-22
673,4/27/2022,NA,NA,4,04-22
674,4/26/2022,NA,NA,3,04-22
675,4/25/2022,NA,NA,2,04-22
676,4/24/2022,15,30,1,04-22
677,4/23/2022,13,60,7,04-22
678,4/22/2022,19,19,6,04-22
679,4/21/2022,19,88,5,04-22
680,4/20/2022,15,66,4,04-22
681,4/19/2022,14,22,3,04-22
682,4/18/2022,10,55,2,04-22
683,4/17/2022,10,20,1,04-22
684,4/16/2022,9,59,7,04-22
685,4/15/2022,10,95,6,04-22
686,4/14/2022,26,44,5,04-22
687,4/13/2022,17,50,4,04-22
688,4/12/2022,14,44,3,04-22
689,4/11/2022,12,26,2,04-22
690,4/10/2022,5,78,1,04-22
691,4/9/2022,3,44,7,04-22
692,4/8/2022,5,67,6,04-22
693,4/7/2022,3,99,5,04-22
694,4/6/2022,7,61,4,04-22
695,4/5/2022,4,83,3,04-22
696,4/4/2022,15,11,2,04-22
697,4/3/2022,7,59,1,04-22
698,4/2/2022,13,53,7,04-22
699,4/1/2022,20,72,6,04-22
700,3/31/2022,19,17,5,03-22
701,3/30/2022,27,3,4,03-22
702,3/29/2022,34,39,3,03-22
703,3/28/2022,19,34,2,03-22
704,3/27/2022,20,46,1,03-22
705,3/26/2022,29,49,7,03-22
706,3/25/2022,39,30,6,03-22
707,3/24/2022,41,4,5,03-22
708,3/23/2022,29,21,4,03-22
709,3/22/2022,21,93,3,03-22
710,3/21/2022,19,88,2,03-22
711,3/20/2022,20,59,1,03-22
712,3/19/2022,29,32,7,03-22
713,3/18/2022,23,56,6,03-22
714,3/17/2022,37,49,5,03-22
715,3/16/2022,22,82,4,03-22
716,3/15/2022,20,31,3,03-22
717,3/14/2022,16,5,2,03-22
718,3/13/2022,16,50,1,03-22
719,3/12/2022,12,59,7,03-22
720,3/11/2022,16,42,6,03-22
721,3/10/2022,23,50,5,03-22
722,3/9/2022,23,43,4,03-22
723,3/8/2022,25,27,3,03-22
724,3/7/2022,23,75,2,03-22
725,3/6/2022,19,96,1,03-22
726,3/5/2022,19,82,7,03-22
727,3/4/2022,33,46,6,03-22
728,3/3/2022,36,59,5,03-22
729,3/2/2022,27,99,4,03-22
730,3/1/2022,20,43,3,03-22
731,2/28/2022,24,0,2,02-22
732,2/27/2022,17,13,1,02-22
733,2/26/2022,16,1,7,02-22
